Player,Rating
Ziaire Williams,72
Aaron Nesmith,72
Paul Reed,72
Usman Garuba,72
Mychal Mulder,72
Kelan Martin,72
Dean Wade,72
Sterling Brown,72
Cody Martin,72
Javonte Green,72
PJ Dozier,72
Moe Harkless,72
Kevin Knox,72
Gary Payton II,72
Chris Chiozza,72
Jake Layman,72
DeAndre Bembry,72
Jarrett Culver,72
Garrett Temple,72
Markieff Morris,72
Cedi Osman,72
Rodney Hood,72
Michael Carter-Williams,72
Danuel House,72
Leandro Bolmaro,71
Josh Primo,71
Bones Hyland,71
Tacko Fall,71
Harry Giles,71
Chandler Hutchison,71
Nathan Knight,71
Tre Jones,71
Freddie Gillespie,71
Day'Ron Sharpe,71
Cam Thomas,71
Luca Vildoza,71
Quentin Grimes,71
Jalen Smith,71
Skylar Mays,71
Sam Merrill,71
Daniel Oturu,71
Lamar Stevens,71
Jaden Springer,71
Isaiah Joe,71
Killian Hayes,71
Josh Green,71
Thanasis Antetokounmpo,71
Bol Bol,71
Wesley Iwundu,71
Sekou Doumbouya,71
Luka Samanic,71
Bruno Fernando,71
Matt Thomas,71
Damian Jones,71
Ben McLemore,71
Al-Farouq Aminu,71
Troy Brown,71
Herb Jones,70
Santi Aldama,70
Isaiah Todd,70
Jeremiah Robinson-Earl,70
Josh Christopher,70
Tyrell Terry,70
Miles McBride,70
Jahmi'us Ramsey,70
Robert Woodard,70
Jared Butler,70
Udoka Azubuike,70
JT Thor,70
Jason Preston,70
Ayo Dosunmu,70
Marko Simonovic,70
Elijah Bryant,70
Jarrell Brantley,70
Gabe Vincent,70
Miye Oni,70
Vlatko Cancar,70
Wenyen Gabriel,70
Udonis Haslem,70
Carsen Edwards,70
Solomon Hill,70
KZ Okpala,70
Grant Williams,70
Mfiondu Kabengele,70
Isaac Bonga,70
Damyean Dotson,70
Cassius Winston,69
Isaiah Livers,69
BJ Boston,69
Charlie Brown,69
Greg Brown,69
Dalano Banton,69
Trent Forrest,69
Elijah Hughes,69
Nick Richards,69
Killian Tillie,69
Devon Dotson,69
Mamadi Diakite,69
Grant Riller,69
Khyri Thomas,69
Romeo Langford,69
Ignas Brazdeikis,69
Anthony Lamb,68
Louis King,68
CJ Elleby,68
Didi Louzada,68
Jay Scrubb,67
Markus Howard,67
Josh Hall,66
